SA,DG,%N,%O,%S,%P,%B,CD,CAP,CONC
343.5,0.84,2.3,,,4.5,,0.5,292,6
784,1.05,3.5,4.1,,,,0.5,98,1
784,1.05,3.5,4.1,,,,20,58,1
784,1.06,4.5,4.4,,,,0.5,104,1
784,1.06,4.5,4.4,,,,20,49,1
784,1.12,3.4,4.4,,,,0.5,134,1
784,1.12,3.4,4.4,,,,20,68,1
784,1.09,3.6,4.3,,,,0.5,114,1
784,1.09,3.6,4.3,,,,20,52,1
784,1.12,3.2,4.2,,,,0.5,134,1
784,1.12,3.2,4.2,,,,20,68,1
784,1.18,2.9,3.8,,,,0.5,155,1
784,1.18,2.9,3.8,,,,20,76,1
9.16,,12.19,10,,,,1,22.5,5
16.91,,18.95,10,,,,1,7.5,5
30.33,,11.79,12.5,,,,1,32,5
21.37,,7.27,18,,,,1,10.5,5
1743,,3.09,,3.06,,,0.7,369,1
1893,,5.23,,4.73,,,0.7,417,1
1723,,8.17,,5.19,,,0.7,277,1
913,0.85,2.6,12.6,,,,5,50,6
972,0.86,2.4,13,,,,5,270,6
624,0.9,1.2,9.9,,,,5,58,6
1935,0.98,0.72,,,,,5,327,0.2
2219,0.98,0.68,,,,,5,274,0.2
1642,0.98,0.58,,,,,5,324,0.2
2270,0.98,0.52,,,,,5,130,0.2
2267,0.94,7.89,12.45,,,2.93,0.5,227,6
2714.4,0.92,7.5,16.98,,,2.77,0.5,258.5,6
1437.7,0.94,6.26,15.57,,,1.86,0.5,130.9,6
952,0.85,2.89,11.25,,,,0.5,178,6
1528,1.58,2.4,9.05,,,,0.5,200,6
1979,1.11,1.4,8.24,,,,0.5,184,6
1267.913,1.31,1.44,7.5,11.72,,,1,280,6
1267.913,1.31,1.44,7.5,11.72,,,10,30,6
1063,1.019,1.24,11.08,,0.25,,1,145,6
1708,1.01,1.07,10.68,,0.29,,1,290,6
2454,1.002,0.95,12.89,,0.18,,1,340.2,6
947,0.855,2.53,5.5,,,,0.05,301,6
1175,0.858,,3.67,,2.71,,0.05,333,6
899,0.856,2.37,10.41,,2.1,,0.05,435,6
829,0.852,,6.96,,,,0.05,280,6
947,0.855,2.53,5.5,,,,10,237.5,6
1175,0.858,,3.67,,2.71,,10,251,6
899,0.856,2.37,10.41,,2.1,,10,340,6
829,0.852,,6.96,,,,10,223,6
947,0.855,2.53,5.5,,,,30,225,6
1175,0.858,,3.67,,2.71,,30,240,6
899,0.856,2.37,10.41,,2.1,,30,325,6
829,0.852,,6.96,,,,30,220,6
947,0.855,2.53,5.5,,,,50,196,6
1175,0.858,,3.67,,2.71,,50,222,6
899,0.856,2.37,10.41,,2.1,,50,311,6
829,0.852,,6.96,,,,50,187,6
1920,1.1,,52.97,,11.59,,0.5,328,1
1920,1.1,,52.97,,11.59,,2,202,1
1920,1.1,,52.97,,11.59,,5,147,1
1920,1.1,,52.97,,11.59,,10,74,1
1330.6,1.25,7.4,7.8,1.4,0.6,,0.5,139,6
1040.5,1.11,5.7,7.1,1.2,0.4,,0.5,166,6
809.3,0.98,2.7,6.5,0.8,0.2,,0.5,129,6
1330.6,1.25,7.4,7.8,1.4,0.6,,5,112.5,6
1040.5,1.11,5.7,7.1,1.2,0.4,,5,119,6
809.3,0.98,2.7,6.5,0.8,0.2,,5,110,6
1330.6,1.25,7.4,7.8,1.4,0.6,,20,97.5,6
1040.5,1.11,5.7,7.1,1.2,0.4,,20,112,6
809.3,0.98,2.7,6.5,0.8,0.2,,20,88,6
4,,,,,,,1,64,1
1055,,,,,8.52,,1,192,1
351,,,,,,,1,36,1
434,,,,,8.65,,1,212,1
247,,,,,,,1,12,1
633,,,,,6.18,,1,220,1
697,,,,,,,1,140,1
1945,0.84,,13.58,,4.58,,0.5,295.3,6
1945,0.84,,13.58,,4.58,,0.5,294.2,1
1945,0.84,,13.58,,4.58,,10,252,6
1945,0.84,,13.58,,4.58,,10,247,1
38.26,,3.87,13.33,,1.96,,0.05,148,6
725.6,,3.34,13.11,,1.77,,0.05,260,6
774,,2.91,12.18,,1.58,,0.05,150,6
156.4,,3.44,15.13,,,,0.05,119,6
725.6,,3.34,13.11,,1.77,,0.1,206,6
725.6,,3.34,13.11,,1.77,,0.2,187,6
725.6,,3.34,13.11,,1.77,,0.5,175,6
725.6,,3.34,13.11,,1.77,,1,169,6
725.6,,3.34,13.11,,1.77,,2,156,6
1155,1.12,11.4,6.7,,3.5,,1,232,6
1155,1.12,11.4,6.7,,3.5,,10,158,6
815,1.38,,4.2,,0.8,,0.3,273,6
805,1.39,,4.93,,1.37,,0.3,312.5,6
751,1.36,,5.2,,1.5,,0.3,312.5,6
815,1.38,,4.2,,0.8,,5,249,6
805,1.39,,4.93,,1.37,,5,275,6
751,1.36,,5.2,,1.5,,5,275,6
637,0.97,1.5,,,0.5,,1,107.2,6
644,0.95,2.2,,,1,,1,200.6,6
855,0.93,2.9,,,0.9,,1,261.1,6
637,0.97,1.5,,,0.5,,2,99.6,6
644,0.95,2.2,,,1,,2,168.4,6
855,0.93,2.9,,,0.9,,2,197.2,6
637,0.97,1.5,,,0.5,,4,88.8,6
644,0.95,2.2,,,1,,4,148.1,6
855,0.93,2.9,,,0.9,,4,166.4,6
637,0.97,1.5,,,0.5,,8,80.6,6
644,0.95,2.2,,,1,,8,131.2,6
855,0.93,2.9,,,0.9,,8,142.4,6
637,0.97,1.5,,,0.5,,16,67.2,6
644,0.95,2.2,,,1,,16,115.2,6
855,0.93,2.9,,,0.9,,16,118.4,6
541,,,4.6,,,,0.1,37.5,1
521,,,5.7,,1.9,,0.1,106.25,1
806,,,16.4,,6.6,,0.1,143.75,1
660,,,17.1,,3.8,,0.1,123.4375,1
475,,,10.1,,0.3,,0.1,12.5,1
555,,,9.5,,0.8,,0.1,87.5,1
528,,,7.8,,0.3,,0.1,49,1
827,,,5.3,,,,0.1,121.875,1
1686,,,9.3,,2.6,,0.1,156.25,1
541,,,4.6,,,,2,25,1
521,,,5.7,,1.9,,2,87.5,1
806,,,16.4,,6.6,,2,125,1
660,,,17.1,,3.8,,2,112.5,1
555,,,9.5,,0.8,,2,73,1
528,,,7.8,,0.3,,2,37.5,1
827,,,5.3,,,,2,110.5,1
1686,,,9.3,,2.6,,2,131.25,1
884,,,12.06,,0.53,,0.1,159,3
874,,,7.3,,0.85,,0.1,202,3
837,,,6.76,,1.01,,0.1,183,3
827,,,5.48,,2.34,,0.1,170,3
827,,,5.48,,2.34,,30,92,3
874,,,7.3,,0.85,,30,148,3
681,,2.3,21.14,,4.53,,0.2,187.5,6
681,,2.3,21.14,,4.53,,10,110.5,6
1142,,2.83,22.66,,4.12,,0.2,312.4,6
1142,,2.83,22.66,,4.12,,10,204.4,6
639,,1.82,14.65,,0.92,,0.2,199.5,6
639,,1.82,14.65,,0.92,,10,136,6
858,,,13.8,,2.5,,0.3,203,1
858,,,13.8,,2.5,,0.6,195,1
858,,,13.8,,2.5,,1.3,190,1
858,,,13.8,,2.5,,3,170,1
858,,,13.8,,2.5,,6.3,160,1
858,,,13.8,,2.5,,10,133,1
858,,,13.8,,2.5,,0.2,385,1
858,,,13.8,,2.5,,0.7,250,1
858,,,13.8,,2.5,,1,201,1
858,,,13.8,,2.5,,2,189,1
858,,,13.8,,2.5,,5,173,1
858,,,13.8,,2.5,,10,132,1
801,0.98,4.87,6.24,,1.23,,1,142.5,6
801,0.98,4.87,6.24,,1.23,,10,120,6
801,0.98,4.87,6.24,,1.23,,20,108.75,6
801,0.98,4.87,6.24,,1.23,,30,101.25,6
1127,,,3.5,,,,1,106,6
1127,,,3.5,,,,2,101.25,6
1127,,,3.5,,,,3,97.5,6
1127,,,3.5,,,,5,93.75,6
1127,,,3.5,,,,10,90,6
1275,,4.4,4.5,,,,1,146.25,6
1275,,4.4,4.5,,,,2,137.75,6
1275,,4.4,4.5,,,,3,137.75,6
1275,,4.4,4.5,,,,5,135,6
1275,,4.4,4.5,,,,10,130.75,6
2282,,,7.7,,2.8,,1,166,6
2282,,,7.7,,2.8,,2,157.5,6
2282,,,7.7,,2.8,,3,149,6
2282,,,7.7,,2.8,,5,143.5,6
2282,,,7.7,,2.8,,10,132,6
1968,,3.2,6.9,,1.7,,1,210,6
1968,,3.2,6.9,,1.7,,2,206.5,6
1968,,3.2,6.9,,1.7,,3,197,6
1968,,3.2,6.9,,1.7,,5,197,6
1968,,3.2,6.9,,1.7,,10,197,6
330,,,6.42,,5.06,,0.05,160,1
550,,,7.73,,8.67,,0.05,161,1
763,,,12.76,,12.64,,0.05,167,1
742,,,12.36,,13.28,,0.05,180,1
554,,,13.12,,12.98,,0.05,168,1
330,,,6.42,,5.06,,1,142,1
550,,,7.73,,8.67,,1,142,1
763,,,12.76,,12.64,,1,145,1
742,,,12.36,,13.28,,1,157,1
554,,,13.12,,12.98,,1,147,1
197.9,,5.6,10.2,,3.3,,2,168.8,6
445.1,,4,8.4,,2.1,,2,183.8,6
380.2,,4,9.8,,2.9,,2,127.2,6
462.3,,5,3.6,,,,2,61,6
49.7,,4.2,3.9,,,,2,27,6
22.4,,3.9,4.4,,,,2,20,6
223,1.45,,13.78,,,,0.5,4,1
223,1.45,,13.78,,,,1,3,1
223,1.45,,13.78,,,,5,2,1
223,1.45,,13.78,,,,10,1,1
786,1.24,,14.39,,1.73,,0.5,43,1
786,1.24,,14.39,,1.73,,1,41,1
786,1.24,,14.39,,1.73,,5,33,1
786,1.24,,14.39,,1.73,,10,23,1
786,1.24,,14.39,,1.73,,20,16,1
786,1.24,,14.39,,1.73,,30,10,1
945,,,12.44,,2.57,,0.5,68,1
945,,,12.44,,2.57,,1,67,1
945,,,12.44,,2.57,,5,57,1
945,,,12.44,,2.57,,10,49,1
945,,,12.44,,2.57,,20,43,1
945,,,12.44,,2.57,,30,37,1
1450,1.13,,13.04,,1.93,,0.5,110,1
1450,1.13,,13.04,,1.93,,1,108,1
1450,1.13,,13.04,,1.93,,5,106,1
1450,1.13,,13.04,,1.93,,10,101,1
1450,1.13,,13.04,,1.93,,20,97,1
1450,1.13,,13.04,,1.93,,30,93,1
1300,1.15,,10.91,,1.42,,0.5,84,1
1300,1.15,,10.91,,1.42,,1,83,1
1300,1.15,,10.91,,1.42,,5,82,1
1300,1.15,,10.91,,1.42,,10,76,1
1300,1.15,,10.91,,1.42,,20,73,1
1300,1.15,,10.91,,1.42,,30,69,1
908,2.6,3.7,11.95,,2.5,,0.5,174,6
908,2.6,3.7,11.95,,2.5,,1,168,6
908,2.6,3.7,11.95,,2.5,,2,165,6
908,2.6,3.7,11.95,,2.5,,4,157,6
908,2.6,3.7,11.95,,2.5,,8,153,6
908,2.6,3.7,11.95,,2.5,,10,151,6
908,2.6,3.7,11.95,,2.5,,20,146,6
908,2.6,3.7,11.95,,2.5,,30,142,6
908,2.6,3.7,11.95,,2.5,,40,132,6
908,2.6,3.7,11.95,,2.5,,50,126,6
1375,2.8,2.46,7.06,,1.41,,0.5,232,6
1375,2.8,2.46,7.06,,1.41,,1,215,6
1375,2.8,2.46,7.06,,1.41,,2,206,6
1375,2.8,2.46,7.06,,1.41,,4,197,6
1375,2.8,2.46,7.06,,1.41,,8,187,6
1375,2.8,2.46,7.06,,1.41,,10,186,6
1375,2.8,2.46,7.06,,1.41,,20,174,6
1375,2.8,2.46,7.06,,1.41,,30,163,6
1375,2.8,2.46,7.06,,1.41,,40,156,6
1375,2.8,2.46,7.06,,1.41,,50,144,6
1294,,2.19,8.08,,2.9,,0.5,197,6
1294,,2.19,8.08,,2.9,,1,186,6
1294,,2.19,8.08,,2.9,,2,180,6
1294,,2.19,8.08,,2.9,,4,173,6
1294,,2.19,8.08,,2.9,,8,167,6
1294,,2.19,8.08,,2.9,,10,164,6
1294,,2.19,8.08,,2.9,,20,156,6
1294,,2.19,8.08,,2.9,,30,148,6
1294,,2.19,8.08,,2.9,,40,143,6
1294,,2.19,8.08,,2.9,,50,131,6
1877,2.9,1.21,6.59,,1.56,,0.5,302,6
1877,2.9,1.21,6.59,,1.56,,1,266,6
1877,2.9,1.21,6.59,,1.56,,2,248,6
1877,2.9,1.21,6.59,,1.56,,4,236,6
1877,2.9,1.21,6.59,,1.56,,8,229,6
1877,2.9,1.21,6.59,,1.56,,10,223,6
1877,2.9,1.21,6.59,,1.56,,20,214,6
1877,2.9,1.21,6.59,,1.56,,30,206,6
1877,2.9,1.21,6.59,,1.56,,40,198,6
1877,2.9,1.21,6.59,,1.56,,50,188,6
1176,,1.47,5.89,,0.33,,0.5,229,6
1176,,1.47,5.89,,0.33,,1,222,6
1176,,1.47,5.89,,0.33,,2,218,6
1176,,1.47,5.89,,0.33,,4,212,6
1176,,1.47,5.89,,0.33,,8,204,6
1176,,1.47,5.89,,0.33,,10,202,6
1176,,1.47,5.89,,0.33,,20,194,6
1176,,1.47,5.89,,0.33,,30,185,6
1176,,1.47,5.89,,0.33,,40,172,6
1176,,1.47,5.89,,0.33,,50,165,6
2024,3.1,0.86,7.37,,0.53,,0.5,273,6
2024,3.1,0.86,7.37,,0.53,,1,252,6
2024,3.1,0.86,7.37,,0.53,,2,233,6
2024,3.1,0.86,7.37,,0.53,,4,220,6
2024,3.1,0.86,7.37,,0.53,,8,211,6
2024,3.1,0.86,7.37,,0.53,,10,210,6
2024,3.1,0.86,7.37,,0.53,,20,196,6
2024,3.1,0.86,7.37,,0.53,,30,188,6
2024,3.1,0.86,7.37,,0.53,,40,183,6
2024,3.1,0.86,7.37,,0.53,,50,178,6
5.565,,,12.45,,4.56,,10,148.7,1
4.895,,,17.03,,4.93,,10,147.9,1
2.914,,,20.85,,6.45,,10,301.3,1
5.565,,,12.45,,4.56,,10,169,1
4.895,,,17.03,,4.93,,10,71.8,1
2.914,,,20.85,,6.45,,10,110.9,1
84.28,1.45,7.29,22.4,,0.39,,0.5,225,6
84.28,1.45,7.29,22.4,,0.39,,5,181.25,6
84.28,1.45,7.29,22.4,,0.39,,10,168.75,6
84.28,1.45,7.29,22.4,,0.39,,20,151,6
142.97,1.59,5.83,14.46,,0.46,,0.5,275,6
142.97,1.59,5.83,14.46,,0.46,,5,225,6
142.97,1.59,5.83,14.46,,0.46,,10,216.67,6
142.97,1.59,5.83,14.46,,0.46,,20,208.34,6
373.96,1.87,3.29,9.79,,0.44,,0.5,300,6
373.96,1.87,3.29,9.79,,0.44,,5,248,6
373.96,1.87,3.29,9.79,,0.44,,10,237.5,6
373.96,1.87,3.29,9.79,,0.44,,20,231.25,6
1022.4,1.12,10.1,11.3,,,6.5,1,265.3,1
1022.4,1.12,10.1,11.3,,,6.5,1.5,250.2,1
1022.4,1.12,10.1,11.3,,,6.5,2,240.2,1
1022.4,1.12,10.1,11.3,,,6.5,3,223.5,1
1022.4,1.12,10.1,11.3,,,6.5,4,210.4,1
1022.4,1.12,10.1,11.3,,,6.5,5,197,1
1022.4,1.12,10.1,11.3,,,6.5,10,148.6,1
1022.4,1.12,10.1,11.3,,,6.5,1,358.4,1
1022.4,1.12,10.1,11.3,,,6.5,1.5,312.8,1
1022.4,1.12,10.1,11.3,,,6.5,2,278.8,1
1022.4,1.12,10.1,11.3,,,6.5,3,267.4,1
1022.4,1.12,10.1,11.3,,,6.5,4,255.2,1
1022.4,1.12,10.1,11.3,,,6.5,5,233,1
1022.4,1.12,10.1,11.3,,,6.5,10,216.1,1
1022.4,1.12,10.1,11.3,,,6.5,1,504,1
1022.4,1.12,10.1,11.3,,,6.5,1.5,454.7,1
1022.4,1.12,10.1,11.3,,,6.5,2,429.4,1
1022.4,1.12,10.1,11.3,,,6.5,3,407.7,1
1022.4,1.12,10.1,11.3,,,6.5,4,387.6,1
1022.4,1.12,10.1,11.3,,,6.5,5,374,1
1022.4,1.12,10.1,11.3,,,6.5,10,337.6,1
949,1,4.31,,,,,1,180,1
826,1,4.73,,,,0.86,1,230,1
694,1,6.02,,,,1.15,1,310,1
641,1,7.8,,,,2.19,1,412,1
508,1.15,,8.1,,,0.82,0.5,200,6
555,1.11,,6.99,,,1.05,0.5,225,6
560,1.09,,6.12,,,1.36,0.5,234.275,6
585,0.98,,5.4,,,1.22,0.5,231.25,6
508,1.15,,8.1,,,0.82,5,162.5,6
555,1.11,,6.99,,,1.05,5,169,6
560,1.09,,6.12,,,1.36,5,206.25,6
585,0.98,,5.4,,,1.22,5,177,6
508,1.15,,8.1,,,0.82,20,112.5,6
555,1.11,,6.99,,,1.05,20,128,6
560,1.09,,6.12,,,1.36,20,156.25,6
585,0.98,,5.4,,,1.22,20,134.5,6
894,,7.1,14.7,,,8.4,0.1,268,6
726,,4.9,10.9,,,4.8,0.1,173,6
894,,7.1,14.7,,,8.4,0.25,235,6
726,,4.9,10.9,,,4.8,0.25,160,6
894,,7.1,14.7,,,8.4,0.5,216,6
726,,4.9,10.9,,,4.8,0.5,152,6
894,,7.1,14.7,,,8.4,1,158,6
726,,4.9,10.9,,,4.8,1,125,6
1158,0.86,,12.24,,,,0.5,256,1
1402,0.89,7.22,12.62,,,,0.5,316,1
1458,0.92,,12.85,,,1.22,0.5,367,1
933,0.95,9.38,11.54,,,3.87,0.5,402,1
1551,1.32,,8.85,,,4.25,1,277,6
1551,1.32,,8.85,,,4.25,100,185,6
446.62,,,6.13,,,,1,166.6,3
781.21,,,10.02,,,0.96,1,282,3
575.85,,,9.65,,,3.91,1,298.4,3
782.49,,,10.56,,,3.99,1,379.9,3
782.49,,,10.56,,,3.99,50,201,3
413.1,0.93,3.67,7.25,,0.49,,0.05,156.3,6
774.5,0.95,3.54,4.97,,0.5,1.5,0.05,221.2,6
894.8,0.98,5.29,5.65,,0.52,2.01,0.05,284.7,6
413.1,0.93,3.67,7.25,,0.49,,40,90.5,6
774.5,0.95,3.54,4.97,,0.5,1.5,40,157.1,6
894.8,0.98,5.29,5.65,,0.52,2.01,40,193.1,6
413.1,0.93,3.67,7.25,,0.49,,0.05,162.6,3
774.5,0.95,3.54,4.97,,0.5,1.5,0.05,275.1,3
894.8,0.98,5.29,5.65,,0.52,2.01,0.05,315.3,3
413.1,0.93,3.67,7.25,,0.49,,20,88.6,3
