SA,DG,%N,%O,%S,%P,%B,CD,CAP,CONC
187,1.47,1.64,10.1,0.74,,,0.5,202,6
187,1.47,1.64,10.1,0.74,,,1,199,6
187,1.47,1.64,10.1,0.74,,,2,199,6
187,1.47,1.64,10.1,0.74,,,5,168,6
187,1.47,1.64,10.1,0.74,,,10,154,6
211,1.48,1.39,11.49,0.7,,,0.5,204,6
211,1.48,1.39,11.49,0.7,,,1,200,6
211,1.48,1.39,11.49,0.7,,,2,196,6
211,1.48,1.39,11.49,0.7,,,5,174,6
211,1.48,1.39,11.49,0.7,,,10,160,6
252,1.51,1.96,13.22,0.97,,,0.5,251,6
252,1.51,1.96,13.22,0.97,,,1,248,6
252,1.51,1.96,13.22,0.97,,,2,242,6
252,1.51,1.96,13.22,0.97,,,5,230,6
252,1.51,1.96,13.22,0.97,,,10,225,6
710,1.35,1.1,18.8,1.3,,,1,150,6
710,1.35,1.1,18.8,1.3,,,2,102,6
710,1.35,1.1,18.8,1.3,,,3,62,6
710,1.35,1.1,18.8,1.3,,,5,50,6
710,1.35,1.1,18.8,1.3,,,10,38,6
710,1.35,1.1,18.8,1.3,,,20,25,6
396,1.03,2.4,16,,,,1,140,6
396,1.03,2.4,16,,,,2,120,6
396,1.03,2.4,16,,,,3,113,6
396,1.03,2.4,16,,,,5,80,6
396,1.03,2.4,16,,,,10,65,6
396,1.03,2.4,16,,,,20,50,6
1013,1.41,1.7,21,1.1,,,1,260,6
1013,1.41,1.7,21,1.1,,,2,200,6
1013,1.41,1.7,21,1.1,,,3,150,6
1013,1.41,1.7,21,1.1,,,5,115,6
1013,1.41,1.7,21,1.1,,,10,103,6
1013,1.41,1.7,21,1.1,,,20,95,6
1109,1.43,4.2,22.1,1.3,,,1,420,6
1109,1.43,4.2,22.1,1.3,,,2,350,6
1109,1.43,4.2,22.1,1.3,,,3,323,6
1109,1.43,4.2,22.1,1.3,,,5,305,6
1109,1.43,4.2,22.1,1.3,,,10,285,6
1109,1.43,4.2,22.1,1.3,,,20,280,6
1036,1.38,2.6,24.2,1.1,,,1,280,6
1036,1.38,2.6,24.2,1.1,,,2,220,6
1036,1.38,2.6,24.2,1.1,,,3,180,6
1036,1.38,2.6,24.2,1.1,,,5,140,6
1036,1.38,2.6,24.2,1.1,,,10,130,6
1036,1.38,2.6,24.2,1.1,,,20,118,6
85.76,1.06,,31.49,,,,0.3,184.9,6
85.76,1.06,,31.49,,,,0.5,180,6
85.76,1.06,,31.49,,,,1,172,6
85.76,1.06,,31.49,,,,2,165,6
85.76,1.06,,31.49,,,,3,158,6
85.76,1.06,,31.49,,,,5,150,6
85.76,1.06,,31.49,,,,10,130,6
147.31,0.97,1.1,15.36,,,,0.3,221.9,6
147.31,0.97,1.1,15.36,,,,0.5,215,6
147.31,0.97,1.1,15.36,,,,1,210,6
147.31,0.97,1.1,15.36,,,,2,202,6
147.31,0.97,1.1,15.36,,,,3,192,6
147.31,0.97,1.1,15.36,,,,5,188,6
147.31,0.97,1.1,15.36,,,,10,178,6
149.32,1.02,1.24,15.45,,,,0.3,299.7,6
149.32,1.02,1.24,15.45,,,,0.5,288,6
149.32,1.02,1.24,15.45,,,,1,277,6
149.32,1.02,1.24,15.45,,,,2,265,6
149.32,1.02,1.24,15.45,,,,3,261,6
149.32,1.02,1.24,15.45,,,,5,255,6
149.32,1.02,1.24,15.45,,,,10,242,6
155.99,1.03,1.35,16.9,,,,0.3,257.5,6
155.99,1.03,1.35,16.9,,,,0.5,250,6
155.99,1.03,1.35,16.9,,,,1,239,6
155.99,1.03,1.35,16.9,,,,2,230,6
155.99,1.03,1.35,16.9,,,,3,227,6
155.99,1.03,1.35,16.9,,,,5,222,6
155.99,1.03,1.35,16.9,,,,10,208,6
278.3,0.98,6.8,9.2,,,,1,175,6
348.7,1.01,7,12.8,,,,1,200,6
412.3,1.15,10.1,9.6,,,,1,290,6
337,1.09,8.2,10.9,,,,1,235,6
263.5,1.03,7.9,10.2,,,,1,228,6
410.2,1.11,10,9.3,,,,1,282,6
398.8,1.12,10.1,10.6,,,,1,272,6
537,1.28,,21.6,8.3,,,1,367,6
537,1.28,,21.6,8.3,,,2,338,6
537,1.28,,21.6,8.3,,,5,283,6
537,1.28,,21.6,8.3,,,10,246,6
187,1.09,,19.27,2.2,,,1,210,6
187,1.09,,19.27,2.2,,,2,158,6
187,1.09,,19.27,2.2,,,5,138,6
187,1.09,,19.27,2.2,,,10,94,6
676,1.02,,,26.56,,,1,480,6
676,1.02,,,26.56,,,2,450,6
676,1.02,,,26.56,,,5,390,6
676,1.02,,,26.56,,,10,350,6
676,1.02,,,26.56,,,15,301,6
287,1.32,8.45,2.36,,,,0.5,320,6
287,1.32,8.45,2.36,,,,1,272,6
287,1.32,8.45,2.36,,,,5,210,6
287,1.32,8.45,2.36,,,,10,192,6
287,1.32,8.45,2.36,,,,20,110,6
530,,,16.2,,,,0.2,228,6
354,,13.4,9.4,,,,0.2,239,6
530,,,16.2,,,,0.5,209,6
354,,13.4,9.4,,,,0.5,235,6
530,,,16.2,,,,1,199,6
354,,13.4,9.4,,,,1,231,6
530,,,16.2,,,,2,190,6
354,,13.4,9.4,,,,2,228,6
530,,,16.2,,,,5,175,6
354,,13.4,9.4,,,,5,220,6
530,,,16.2,,,,10,162,6
354,,13.4,9.4,,,,10,214,6
530,,0,16.2,,,,20,142,6
354,,13.4,9.4,,,,20,209,6
388,,4.44,5.51,,,,2,370,1
388,,4.44,5.51,,,,3,325,1
388,,4.44,5.51,,,,4,300,1
388,,4.44,5.51,,,,5,290,1
388,,4.44,5.51,,,,6,285,1
388,,4.44,5.51,,,,8,270,1
388,,4.44,5.51,,,,10,250,1
244,,1.32,3.68,,,,0.5,350,1
244,,1.32,3.68,,,,1,270,1
244,,1.32,3.68,,,,2,175,1
244,,1.32,3.68,,,,3,165,1
244,,1.32,3.68,,,,4,150,1
244,,1.32,3.68,,,,5,145,1
244,,1.32,3.68,,,,6,130,1
244,,1.32,3.68,,,,8,120,1
244,,1.32,3.68,,,,10,110,1
166,1,,21.88,,,,0.5,200,6
191.8,1.06,7.59,16.04,,,,0.5,278.3,6
196.8,1.02,7.71,16.01,,,,0.5,334,6
178.6,1.04,8.08,13.36,,,,0.5,241.1,6
196.8,1.02,4.58,13.53,,,,0.5,204.8,6
196.8,1.02,3.53,15.66,,,,0.5,305,6
196.8,1.02,2.5,19.42,,,,0.5,173.9,6
166,1,,21.88,,,,1,176.87,6
191.8,1.06,7.59,16.04,,,,1,234.53,6
196.8,1.02,7.71,16.01,,,,1,285.5,6
178.6,1.04,8.08,13.36,,,,1,211.68,6
166,1,,21.88,,,,2,163.27,6
191.8,1.06,7.59,16.04,,,,2,211.51,6
196.8,1.02,7.71,16.01,,,,2,259.54,6
178.6,1.04,8.08,13.36,,,,2,200,6
166,1,,21.88,,,,5,153.06,6
191.8,1.06,7.59,16.04,,,,5,194.24,6
196.8,1.02,7.71,16.01,,,,5,238.17,6
178.6,1.04,8.08,13.36,,,,5,183.21,6
166,1,,21.88,,,,10,142.86,6
191.8,1.06,7.59,16.04,,,,10,179.86,6
196.8,1.02,7.71,16.01,,,,10,226.72,6
178.6,1.04,8.08,13.36,,,,10,171.53,6
166,1,,21.88,,,,20,132.65,6
191.8,1.06,7.59,16.04,,,,20,165.47,6
196.8,1.02,7.71,16.01,,,,20,209.92,6
178.6,1.04,8.08,13.36,,,,20,163.5,6
267.1,0.85,,17.6,,,,0.1,131,6
267.1,0.85,,17.6,,,,0.5,129,6
267.1,0.85,,17.6,,,,1,125,6
267.1,0.85,,17.6,,,,2,112,6
267.1,0.85,,17.6,,,,5,87.5,6
267.1,0.85,,17.6,,,,10,69,6
278.5,0.38,,3.04,,,,0.1,170,6
278.5,0.38,,3.04,,,,0.5,160,6
278.5,0.38,,3.04,,,,1,150,6
278.5,0.38,,3.04,,,,2,125,6
278.5,0.38,,3.04,,,,5,102,6
278.5,0.38,,3.04,,,,10,84,6
353.1,0.46,1.1,7.23,,,,0.1,219,6
353.1,0.46,1.1,7.23,,,,0.5,175,6
353.1,0.46,1.1,7.23,,,,1,162,6
353.1,0.46,1.1,7.23,,,,2,148,6
353.1,0.46,1.1,7.23,,,,5,125,6
353.1,0.46,1.1,7.23,,,,10,97,6
462.1,0.54,1.87,7.68,,,,0.1,279,6
462.1,0.54,1.87,7.68,,,,0.5,276,6
462.1,0.54,1.87,7.68,,,,1,222,6
462.1,0.54,1.87,7.68,,,,2,180,6
462.1,0.54,1.87,7.68,,,,5,150,6
462.1,0.54,1.87,7.68,,,,10,124,6
407,0.77,2.46,6.85,,,,0.1,229,6
407,0.77,2.46,6.85,,,,0.5,210,6
407,0.77,2.46,6.85,,,,1,180,6
407,0.77,2.46,6.85,,,,2,150,6
407,0.77,2.46,6.85,,,,5,136,6
407,0.77,2.46,6.85,,,,10,110,6
175.9,1.14,9.69,6.36,1.2,,,1,323.8,6
175.9,1.14,9.69,6.36,1.2,,,2,316.7,6
175.9,1.14,9.69,6.36,1.2,,,5,305.3,6
175.9,1.14,9.69,6.36,1.2,,,10,294.6,6
175.9,1.14,9.69,6.36,1.2,,,20,286.3,6
131.3,1.24,8.48,32.32,4.59,,,0.2,158,6
131.3,1.24,8.48,32.32,4.59,,,0.5,149,6
131.3,1.24,8.48,32.32,4.59,,,1,142,6
131.3,1.24,8.48,32.32,4.59,,,5,132,6
131.3,1.24,8.48,32.32,4.59,,,10,124,6
284.8,1.27,10.28,27.56,3.86,,,0.2,167,6
284.8,1.27,10.28,27.56,3.86,,,0.5,161,6
284.8,1.27,10.28,27.56,3.86,,,1,154,6
284.8,1.27,10.28,27.56,3.86,,,5,142,6
284.8,1.27,10.28,27.56,3.86,,,10,133,6
324.6,1.17,6.4,13.69,2.66,,,0.2,208,6
324.6,1.17,6.4,13.69,2.66,,,0.5,198,6
324.6,1.17,6.4,13.69,2.66,,,1,185,6
324.6,1.17,6.4,13.69,2.66,,,5,177,6
324.6,1.17,6.4,13.69,2.66,,,10,167,6
259.5,1.25,4.88,6.79,2.08,,,0.2,132,6
259.5,1.25,4.88,6.79,2.08,,,0.5,118,6
259.5,1.25,4.88,6.79,2.08,,,1,112,6
259.5,1.25,4.88,6.79,2.08,,,5,95,6
259.5,1.25,4.88,6.79,2.08,,,10,85,6
471.05,1.78,,28.41,,,,0.3,160,0.25
274.44,1.76,1.66,12.91,,,,0.3,349,0.25
471.05,1.78,,28.41,,,,0.5,149,0.25
274.44,1.76,1.66,12.91,,,,0.5,332,0.25
471.05,1.78,,28.41,,,,0.7,140,0.25
274.44,1.76,1.66,12.91,,,,0.7,320,0.25
471.05,1.78,,28.41,,,,1,135,0.25
274.44,1.76,1.66,12.91,,,,1,306,0.25
471.05,1.78,,28.41,,,,2,124,0.25
274.44,1.76,1.66,12.91,,,,2,273,0.25
471.05,1.78,,28.41,,,,3,105,0.25
274.44,1.76,1.66,12.91,,,,3,249,0.25
471.05,1.78,,28.41,,,,4,93,0.25
274.44,1.76,1.66,12.91,,,,4,225,0.25
471.05,1.78,,28.41,,,,5,87,0.25
274.44,1.76,1.66,12.91,,,,5,206,0.25
282.3,1.06,1.26,10.01,1.16,,,0.5,327,6
282.3,1.06,1.26,10.01,1.16,,,1,274,6
282.3,1.06,1.26,10.01,1.16,,,2,263,6
282.3,1.06,1.26,10.01,1.16,,,3,250,6
282.3,1.06,1.26,10.01,1.16,,,5,246,6
282.3,1.06,1.26,10.01,1.16,,,10,229,6
282.3,1.06,1.26,10.01,1.16,,,20,212,6
366,1.11,2.27,9.18,2.39,,,0.5,381,6
366,1.11,2.27,9.18,2.39,,,1,321,6
366,1.11,2.27,9.18,2.39,,,2,310,6
366,1.11,2.27,9.18,2.39,,,3,307,6
366,1.11,2.27,9.18,2.39,,,5,297,6
366,1.11,2.27,9.18,2.39,,,10,280,6
366,1.11,2.27,9.18,2.39,,,20,258,6
257.8,1.08,1.52,8.75,1.91,,,0.5,320,6
257.8,1.08,1.52,8.75,1.91,,,1,265,6
257.8,1.08,1.52,8.75,1.91,,,2,251,6
257.8,1.08,1.52,8.75,1.91,,,3,247,6
257.8,1.08,1.52,8.75,1.91,,,5,227,6
257.8,1.08,1.52,8.75,1.91,,,10,224,6
257.8,1.08,1.52,8.75,1.91,,,20,200,6
966,1.06,1.62,5.96,0.48,,,0.5,261,6
966,1.06,1.62,5.96,0.48,,,1,194,6
966,1.06,1.62,5.96,0.48,,,3,130,6
966,1.06,1.62,5.96,0.48,,,5,119,6
966,1.06,1.62,5.96,0.48,,,8,103,6
1335,1.13,1.6,4.62,0.37,,,0.5,203,6
1335,1.13,1.6,4.62,0.37,,,1,148,6
1335,1.13,1.6,4.62,0.37,,,3,100,6
1335,1.13,1.6,4.62,0.37,,,5,95,6
1335,1.13,1.6,4.62,0.37,,,8,78,6
1934.7,,,3.86,,,,0.3,208,6
1919.1,,,3.24,0.64,,,0.3,234,6
1790.3,,,4.07,1.13,,,0.3,257,6
1630.9,,,6.35,2.37,,,0.3,183,6
1934.7,,,3.86,,,,0.5,195,6
1919.1,,,3.24,0.64,,,0.5,218,6
1790.3,,,4.07,1.13,,,0.5,241,6
1630.9,,,6.35,2.37,,,0.5,153,6
1934.7,,,3.86,,,,1,189,6
1919.1,,,3.24,0.64,,,1,207,6
1790.3,,,4.07,1.13,,,1,234,6
1630.9,,,6.35,2.37,,,1,167,6
1934.7,,,3.86,,,,2.5,180,6
1919.1,,,3.24,0.64,,,2.5,199,6
1790.3,,,4.07,1.13,,,2.5,223,6
1630.9,,,6.35,2.37,,,2.5,160,6
1934.7,,,3.86,,,,5,177,6
1919.1,,,3.24,0.64,,,5,195,6
1790.3,,,4.07,1.13,,,5,219,6
1630.9,,,6.35,2.37,,,5,158,6
1934.7,,,3.86,,,,10,172,6
1919.1,,,3.24,0.64,,,10,190,6
1790.3,,,4.07,1.13,,,10,214,6
1630.9,,,6.35,2.37,,,10,156,6
1934.7,,,3.86,,,,25,171,6
1919.1,,,3.24,0.64,,,25,179,6
1790.3,,,4.07,1.13,,,25,210,6
1630.9,,,6.35,2.37,,,25,155,6
106.3,1.01,,12.88,,,,1,160,1
106.3,1.01,,12.88,,,,2,150,1
106.3,1.01,,12.88,,,,5,140,1
106.3,1.01,,12.88,,,,8,130,1
106.3,1.01,,12.88,,,,10,127,1
106.3,1.01,,12.88,,,,15,123,1
106.3,1.01,,12.88,,,,20,118,1
193.5,1.05,,11.89,,,,1,215,1
193.5,1.05,,11.89,,,,2,200,1
193.5,1.05,,11.89,,,,5,185,1
193.5,1.05,,11.89,,,,8,178,1
193.5,1.05,,11.89,,,,10,175,1
193.5,1.05,,11.89,,,,15,173,1
193.5,1.05,,11.89,,,,20,171,1
129.2,1.33,4.25,11.2,2.69,,,1,315,1
129.2,1.33,4.25,11.2,2.69,,,2,260,1
129.2,1.33,4.25,11.2,2.69,,,5,223,1
129.2,1.33,4.25,11.2,2.69,,,8,205,1
129.2,1.33,4.25,11.2,2.69,,,10,200,1
129.2,1.33,4.25,11.2,2.69,,,15,193,1
129.2,1.33,4.25,11.2,2.69,,,20,190,1
370.4,1.32,4.8,7.76,2.01,,,1,346,1
370.4,1.32,4.8,7.76,2.01,,,2,302,1
370.4,1.32,4.8,7.76,2.01,,,5,260,1
370.4,1.32,4.8,7.76,2.01,,,8,242,1
370.4,1.32,4.8,7.76,2.01,,,10,235,1
370.4,1.32,4.8,7.76,2.01,,,15,215,1
370.4,1.32,4.8,7.76,2.01,,,20,201,1
261,0.92,,14.03,3.47,,,5,285,3
261,0.92,,14.03,3.47,,,3,320,3
261,0.92,,14.03,3.47,,,10,155,3
109.07,1.21,5.32,8.76,,,,1,359,6
109.07,1.21,5.32,8.76,,,,2,330,6
109.07,1.21,5.32,8.76,,,,3,315,6
109.07,1.21,5.32,8.76,,,,4,300,6
109.07,1.21,5.32,8.76,,,,5,292,6
109.07,1.21,5.32,8.76,,,,10,280,6
39.05,1.02,4.16,9.39,,,,1,280,6
39.05,1.02,4.16,9.39,,,,2,225,6
39.05,1.02,4.16,9.39,,,,3,220,6
39.05,1.02,4.16,9.39,,,,4,220,6
39.05,1.02,4.16,9.39,,,,5,215,6
39.05,1.02,4.16,9.39,,,,10,203,6
531.9,,7.7,13.7,,,,2,320,6
531.9,,7.7,13.7,,,,5,298.5,6
531.9,,7.7,13.7,,,,10,239,6
1888,1.86,,,,,,1,125.5,6
1866,2.01,,,0.97,,,1,119,6
1697,2.03,,,1.2,,,1,137,6
1639,1.93,,,0.87,,,1,124.5,6
1866,2.01,,,0.97,,,2.5,118.8,6
1697,2.03,,,1.2,,,2.5,131,6
1639,1.93,,,0.87,,,2.5,121.5,6
1866,2.01,,,0.97,,,5,112.5,6
1697,2.03,,,1.2,,,5,126,6
1639,1.93,,,0.87,,,5,119,6
1866,2.01,,,0.97,,,10,106.5,6
1697,2.03,,,1.2,,,10,121.5,6
1639,1.93,,,0.87,,,10,118,6
1866,2.01,,,0.97,,,25,98,6
1697,2.03,,,1.2,,,25,110,6
1639,1.93,,,0.87,,,25,114,6
260,,,14.39,,,,0.2,203,6
593,,10.09,13.86,,,,0.2,326,6
502,,4.96,14.02,,,,0.2,238,6
527,,5.93,13.72,,,,0.2,251,6
571,,9.5,11.81,,,,0.2,276,6
544,,8.47,11.77,,,,0.2,289,6
373,,6.36,15.91,,,,0.2,254,6
460,,7.84,14.4,,,,0.2,286,6
413,,7.3,10.73,,,,0.2,281,6
260,,,14.39,,,,1,169,6
593,,10.09,13.86,,,,1,269,6
502,,4.96,14.02,,,,1,210,6
527,,5.93,13.72,,,,1,216,6
571,,9.5,11.81,,,,1,239,6
544,,8.47,11.77,,,,1,250,6
373,,6.36,15.91,,,,1,193,6
460,,7.84,14.4,,,,1,222,6
413,,7.3,10.73,,,,1,207,6
